vendor_id,vendor_name,on_time_delivery,quality_rating,defect_rate,response_time,cost_efficiency,compliance_score,customer_satisfaction,delivery_delay_days
1,Vendor_1,88,4.83,7.86,36,2.2,68,4.98,1
2,Vendor_2,78,2.52,5.75,45,4.99,81,2.8,6
3,Vendor_3,64,3.06,5.67,23,5.06,91,2.01,4
4,Vendor_4,92,3.41,3.91,45,9.63,64,2.77,3
5,Vendor_5,57,3.72,5.01,45,4.88,82,4.39,7
6,Vendor_6,70,4.63,3.97,34,5.94,64,1.82,8
7,Vendor_7,88,2.72,5.4,9,5.8,91,4.81,8
8,Vendor_8,68,4.51,6.28,24,6.73,69,2.37,2
9,Vendor_9,72,2.64,6.74,8,7.73,98,4.94,2
10,Vendor_10,60,4.61,5.32,7,3.03,74,4.35,4
11,Vendor_11,60,2.63,7.21,36,5.76,66,4.23,4
12,Vendor_12,73,2.55,1.41,18,8.43,88,2.27,9
13,Vendor_13,85,4.24,2.12,3,5.17,62,1.04,1
14,Vendor_14,89,4.99,8.19,28,3.51,78,2.53,0
15,Vendor_15,73,4.74,3.23,6,6.89,69,2.21,7
16,Vendor_16,52,3.94,0.23,44,8.41,87,1.15,2
17,Vendor_17,71,4.79,1.54,44,1.57,88,3.02,0
18,Vendor_18,51,2.51,2.24,21,7.99,74,2.61,0
19,Vendor_19,73,4.94,9.57,28,8.39,94,3.54,1
20,Vendor_20,93,3.73,5.73,40,5.15,65,3.48,5
21,Vendor_21,79,4.31,9.33,1,9.85,71,1.48,5
22,Vendor_22,87,4.55,5.75,36,8.08,97,4.91,2
23,Vendor_23,51,4.3,4.79,21,7.96,72,1.75,3
24,Vendor_24,70,3.84,3.14,43,7.73,88,2.78,1
25,Vendor_25,82,3.69,6.06,35,2.36,78,2.95,1
26,Vendor_26,61,4.6,1.39,13,2.96,62,4.25,6
27,Vendor_27,71,3.01,8.98,10,5.18,67,1.4,0
28,Vendor_28,93,4.92,8.29,44,3.38,67,2.71,6
29,Vendor_29,74,4.28,3.18,47,4.74,79,3.51,0
30,Vendor_30,98,3.0,9.53,10,9.0,63,1.86,5
31,Vendor_31,76,4.34,8.25,46,8.42,80,3.51,2
32,Vendor_32,91,3.82,6.66,13,6.67,62,4.69,7
33,Vendor_33,77,4.27,1.22,37,8.72,67,4.99,5
34,Vendor_34,65,4.42,4.78,38,8.05,82,1.13,1
35,Vendor_35,64,2.72,5.06,24,4.86,75,1.94,7
36,Vendor_36,96,3.77,2.33,2,2.81,72,2.24,4
37,Vendor_37,93,4.83,0.8,22,5.63,62,2.6,7
38,Vendor_38,52,3.3,7.77,17,7.63,68,1.97,7
39,Vendor_39,86,3.98,1.22,36,4.93,73,1.81,5
